Theater,TheaterLabel,Sitz,SitzLabel
http://www.wikidata.org/entity/Q122799147,Theaterverein Grabenstätt,http://www.wikidata.org/entity/Q254786,Grabenstätt
http://www.wikidata.org/entity/Q122799149,Theaterverein Grafenau,http://www.wikidata.org/entity/Q162106,Neuschönau
http://www.wikidata.org/entity/Q122799151,Theaterverein Großkarolinenfeld,http://www.wikidata.org/entity/Q532876,Großkarolinenfeld
http://www.wikidata.org/entity/Q122799154,Theaterverein Großmehring 06,http://www.wikidata.org/entity/Q31602,Großmehring
http://www.wikidata.org/entity/Q122799156,Theaterverein Halfing,http://www.wikidata.org/entity/Q583505,Halfing
http://www.wikidata.org/entity/Q122799158,Theaterverein Hofstarring,http://www.wikidata.org/entity/Q627597,Steinkirchen
http://www.wikidata.org/entity/Q122799159,Theaterverein Hohenlinden,http://www.wikidata.org/entity/Q524334,Hohenlinden
http://www.wikidata.org/entity/Q122799161,Theaterverein Huisheim Gosheim,http://www.wikidata.org/entity/Q503339,Huisheim
http://www.wikidata.org/entity/Q122799162,Theaterverein Inning am Holz,http://www.wikidata.org/entity/Q512860,Inning am Holz
http://www.wikidata.org/entity/Q122799164,Theaterverein Isen 1983,http://www.wikidata.org/entity/Q127882,Isen
http://www.wikidata.org/entity/Q122799165,Theaterverein Kirchanschöring,http://www.wikidata.org/entity/Q265312,Kirchanschöring
http://www.wikidata.org/entity/Q122799167,Theaterverein Kirchdorf a. d. Amper,http://www.wikidata.org/entity/Q506009,Kirchdorf an der Amper
